amfi_code,scheme_name,cagr_3y,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,scorecard_score
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.3127857318272198,1.7297534656740645,0.02,1.46,-0.11265729075028275,75.50000000000001
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.3362921056230763,1.3071934067705893,0.02,1.38,-0.16217208574644848,72.50000000000001
120505,ICICI Pru Midcap Fund - Regular - Growth,0.30206534630200976,1.424242290450087,0.02,1.36,-0.18188513572116294,71.625
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.28369809430069837,1.1946071219844108,0.02,0.8,-0.12588275606922517,71.5
120843,Kotak Flexicap Fund - Regular - Growth,0.2566188265022562,1.5621857098940621,0.02,1.45,-0.1297396816518679,69.5
119094,Axis Midcap Fund - Regular - Growth,0.3606601747719518,1.1856956730954251,0.02,1.38,-0.20960883862039192,68.75
101206,ABSL Frontline Equity Fund - Regular - Growth,0.32528591355184844,1.1965133010370854,0.02,1.6,-0.11291596329323073,65.93750000000001
119551,SBI Bluechip Fund - Regular Plan - Growth,0.27727427651752534,1.4173751190567725,0.02,1.54,-0.1501238549864533,64.9375
119552,SBI Bluechip Fund - Direct Plan - Growth,0.15383382573944893,1.10279657776916,0.02,0.66,-0.11803493502764295,59.50000000000001
119598,SBI Small Cap Fund - Regular Plan - Growth,0.27814418371202754,1.1463657592507006,0.02,1.43,-0.2870600572176455,59.50000000000001
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.23317122535147572,1.4837679234382195,0.02,1.6,-0.1639674294693263,59.18750000000001
149323,DSP Midcap Fund - Regular - Growth,0.24242464971409516,1.349206503947863,0.02,1.61,-0.17248105753451382,57.250000000000014
118632,Nippon India Large Cap Fund - Regular - Growth,0.18088593620415083,1.2617425946671663,0.02,1.51,-0.17414075086657232,57.06250000000001
118633,Nippon India Large Cap Fund - Direct - Growth,0.18128823270614958,0.7356132348308864,0.02,0.72,-0.18629743138595511,55.43750000000001
120507,ICICI Pru Liquid Fund - Regular - Growth,0.07051904540600296,0.9648359559273194,0.02,0.74,-0.0009773140045925555,55.125
149324,DSP Small Cap Fund - Regular - Growth,0.25029675402929885,1.1508514759807427,0.02,1.52,-0.31171900300634214,54.8125
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.1770571225538371,0.891038972296905,0.02,0.92,-0.15200013055606398,54.625000000000014
118635,Nippon India ETF Nifty 50 BeES,0.16236841860639406,0.7572532622123089,0.02,0.89,-0.1165062450540909,53.37500000000001
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.18246287427399865,0.7415933118609795,0.02,1.41,-0.1982565826298267,51.5
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.17520119946365442,0.9356372262718702,0.02,1.57,-0.1085986215250232,50.375
119093,Axis Bluechip Fund - Direct - Growth,0.20575450839484977,0.15491387233403456,0.02,0.75,-0.21751396370148224,49.75000000000001
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.1480416951560286,0.9155533152963001,0.02,1.42,-0.13897862823061635,49.50000000000001
120844,Kotak Liquid Fund - Regular - Growth,0.0654165743882027,0.32419925722598963,0.02,0.6,-0.0011629327956168556,48.12500000000001
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.13077495792463978,1.0759309570477826,0.02,1.52,-0.1527259422823477,46.9375
102887,UTI Flexi Cap Fund - Regular - Growth,0.2566304169554934,0.7077806794549565,0.02,1.64,-0.21539827112383225,46.31250000000001
149322,DSP Top 100 Equity Fund - Regular - Growth,0.16528044392382957,0.5268345390589451,0.02,1.54,-0.14844576917771746,42.9375
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.12492937768565682,0.3414031962238624,0.02,0.78,-0.21117279560132118,42.375
120841,Kotak Bluechip Fund - Regular - Growth,0.16684258851596145,0.5611592114898576,0.02,1.59,-0.1757361416468729,40.625
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.05606028649588968,-0.18645072688091172,0.02,0.77,-0.04328728923970093,39.25
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.04152061472814461,-0.32385206700601016,0.02,0.55,-0.08316361763638702,38.62500000000001
100025,HDFC Short Term Debt Fund - Regular - Growth,0.046143288414864925,-0.5433403633707404,0.02,0.56,-0.04308263824636349,38.25
101208,ABSL Liquid Fund - Regular - Growth,0.060761500834302096,-0.44377123014693864,0.02,0.79,-0.0016224980244717857,37.25000000000001
118634,Nippon India Small Cap Fund - Regular - Growth,0.0758063522976058,0.5149411486379396,0.02,1.53,-0.2334488614483311,33.8125
120842,Kotak Emerging Equity Fund - Regular - Growth,0.10040620430039637,0.0936490029900013,0.02,1.56,-0.24003511326274884,29.500000000000004
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.006866124385353167,-0.05196208322030605,0.02,0.72,-0.5257422117012851,29.312499999999996
119092,Axis Bluechip Fund - Regular - Growth,0.005559688070353008,0.04832594239251393,0.02,1.64,-0.1440161790933726,24.9375
119095,Axis Small Cap Fund - Regular - Growth,-0.11065546853000663,-0.0717130980937295,0.02,1.38,-0.5167775370852656,22.375
101207,ABSL Small Cap Fund - Regular - Growth,-0.026964750873929244,0.18554966512814602,0.02,1.53,-0.3544691649336603,22.1875
102886,UTI Mid Cap Fund - Regular - Growth,-0.01832224809009908,-0.20370913907757118,0.02,1.51,-0.2800112356639287,20.187500000000004
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.00031627759670682654,-0.1971064559748662,0.02,1.55,-0.24734440880673303,19.75
